market_type,team,group,odds_decimal,bookmaker,source_url,collected_at,notes
winner,France,,5,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,Spain,,7,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,England,,7.5,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,Argentina,,9.05,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,Portugal,,12,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,Brazil,,13,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,Germany,,15,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,Netherlands,,17,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,Norway,,34,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,United States,,34,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,Morocco,,34,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,Japan,,41,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
winner,Mexico,,51,Oddschecker_best,https://www.oddschecker.com/br/futebol/internacional/copa-do-mundo-fifa/copa-do-mundo/vencedor?utm_source=oddschecker&utm_medium=referral&utm_campaign=uksite,2026-06-22T00:55:00Z,manual seed from logged Oddschecker winner market
